,영업상태명,상세영업상태코드,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,별점,대표메뉴,가격정보
0,영업/정상,1,영업,,45.0,120812.0,서울특별시 서대문구 북가좌동 279-12 1층 ,서울특별시 서대문구 응암로 116 1층 (북가좌동),3667.0,왕노가리,20201100000000.0,U,2020-11-08 2:40,한식,192308.8448,453379.4394,한식,1887456010,4.39,손질먹태구이,"16,000원"
1,영업/정상,1,영업,,37.0,120814.0,서울특별시 서대문구 북가좌동 311-22,서울특별시 서대문구 거북골로20길 53-28 1층 (북가좌동),3679.0,착한쭝식,20220600000000.0,U,2021-12-05 22:03,한식,191973.7532,453177.2295,,1456735147,-,찹쌀탕수육 소,"8,900원"
2,영업/정상,1,영업,02  306 1903,51.15,120812.0,서울특별시 서대문구 북가좌동 291-4번지 ,서울특별시 서대문구 증가로 215 (북가좌동),3682.0,거북골숯불갈비,20110800000000.0,I,2018-08-31 23:59,한식,192405.9973,453187.5254,한식,13347695,4.44,수제돼지갈비 300g,"15,000원"
3,영업/정상,1,영업,02  373 7278,40.0,120813.0,서울특별시 서대문구 북가좌동 304-1번지 1층 일부 ,서울특별시 서대문구 거북골로18길 8 1층 (북가좌동),3691.0,프레즐메이커,20180800000000.0,I,2018-08-31 23:59,기타,192031.6656,452836.2456,기타,35495367,4.53,아메리카노(기본 그란데싸이즈),"3,000원"
4,영업/정상,1,영업,,32.8,120816.0,서울특별시 서대문구 북가좌동 351-2번지 1층 ,서울특별시 서대문구 응암로 146 1층 (북가좌동),3667.0,홍주식당,20180600000000.0,I,2018-08-31 23:59,한식,192456.3669,453652.4601,한식,1667981727,4.42,-,-
5,영업/정상,1,영업,,20.46,120817.0,서울특별시 서대문구 북가좌동 431 DMC한양 ,서울특별시 서대문구 응암로 28 지층 17호 (북가좌동 DMC한양),3709.0,한양식당,20201200000000.0,I,2021-01-01 0:23,한식,191900.3459,452626.2213,한식,21294123,4.34,왕족발 대,"35,000원"
6,영업/정상,1,영업,02  305 3377,432.3,120130.0,서울특별시 서대문구 북가좌동 487 성공타워1 ,서울특별시 서대문구 수색로 56 606~607호 (북가좌동),3709.0,(주)일야꽃마름가좌역점,20201000000000.0,U,2020-10-24 2:40,뷔페식,192209.3236,452067.0394,뷔페식,-,-,-,-
7,영업/정상,1,영업,,30.96,120810.0,서울특별시 서대문구 북가좌동 3-38 바움샤인빌 ,서울특별시 서대문구 증가로20길 80 1층 101호 (북가좌동 바움샤인빌),3671.0,리치(Rich) 김밥,20210400000000.0,U,2021-04-07 2:40,한식,192785.5347,453358.34,한식,1429357565,4.63,리치김밥,"3,000원"
8,영업/정상,1,영업,,16.0,120766.0,서울특별시 서대문구 북가좌동 449 북가좌삼호아파트,서울특별시 서대문구 거북골로14길 5 북가좌삼호아파트 상가동 지1층 B03 04호 (북가좌동),3690.0,커피주는 냉면집,20220500000000.0,I,2021-12-04 23:05,기타,192260.2999,452692.5088,,-,-,-,-
9,영업/정상,1,영업,02  309 6622,66.11,120812.0,서울특별시 서대문구 북가좌동 292-17번지 ,서울특별시 서대문구 증가로25길 4 (북가좌동),3682.0,오복영양탕,20100200000000.0,I,2018-08-31 23:59,한식,192330.2103,453264.2378,한식,18270260,4.28,수육,"20,000원"
10,영업/정상,1,영업,,43.21,120812.0,서울특별시 서대문구 북가좌동 290-11 ,서울특별시 서대문구 증가로21길 20-8 1층 (북가좌동),3685.0,아울베리(OWLBERRY),20220100000000.0,U,2022-01-09 2:40,기타,192371.3878,453136.9718,기타,1709350725,-,-,-
11,영업/정상,1,영업,02  308 1552,93.25,120814.0,서울특별시 서대문구 북가좌동 326-5번지 1층 ,서울특별시 서대문구 응암로 91 1층 (북가좌동),3678.0,당진아구찜동태찜탕,20180100000000.0,I,2018-08-31 23:59,한식,192159.3326,453218.1391,한식,37130262,4.3,순살아구찜 [소],"35,000원"
12,영업/정상,1,영업,02 3764300,29.76,120130.0,서울특별시 서대문구 북가좌동 484 성공타워2,서울특별시 서대문구 수색로6길 17-14 성공타워2 1층 109호 (북가좌동),3791.0,육회왕자 연어공주,20220700000000.0,I,2021-12-06 23:05,한식,192178.6342,452110.7227,,1651300381,-,-,-
13,영업/정상,1,영업,,14.4,120816.0,서울특별시 서대문구 북가좌동 371-12 국제빌딩 지하1층 104호 ,서울특별시 서대문구 수색로 144 국제빌딩 지하1층 104호 (북가좌동),3714.0,볶다,20220200000000.0,I,2022-02-17 0:22,한식,191559.9181,452563.2918,한식,1381318558,-,황금볶음밥,"9,000원"
14,영업/정상,1,영업,,18.2,120813.0,서울특별시 서대문구 북가좌동 107-1 ,서울특별시 서대문구 거북골로 148 1층 (북가좌동),3690.0,구어줄게,20210700000000.0,U,2021-07-09 2:40,한식,192280.4578,452578.8519,한식,1574053636,-,고등어구이,"9,000원"
15,영업/정상,1,영업,02  302 1946,13.2,120816.0,서울특별시 서대문구 북가좌동 382-18번지 (지하1층) ,서울특별시 서대문구 수색로10길 12-1 (북가좌동(지하1층)),3714.0,식도락식당,20100200000000.0,I,2018-08-31 23:59,한식,191577.3162,452607.3966,한식,1322958809,-,-,-
16,영업/정상,1,영업,,29.0,120810.0,서울특별시 서대문구 북가좌동 3-43 ,서울특별시 서대문구 증가로24바길 70 1층 (북가좌동),3668.0,엄마,20220200000000.0,U,2022-02-24 2:40,분식,192794.825,453408.0483,분식,13018229,4.36,떡볶이,"3,000원"
17,영업/정상,1,영업,,46.0,120815.0,서울특별시 서대문구 북가좌동 340-12번지 ,서울특별시 서대문구 불광천길 274 1층 101호 (북가좌동),3676.0,고흐플라워,20190200000000.0,I,2019-02-17 2:21,한식,192272.6846,453776.6481,한식,1408613751,4.16,-,-
18,영업/정상,1,영업,,30.0,120812.0,서울특별시 서대문구 북가좌동 279-12번지 ,서울특별시 서대문구 응암로 116 1층 (북가좌동),3667.0,마츠키,20200500000000.0,I,2020-05-09 0:23,일식,192308.8448,453379.4394,일식,1082992906,4.71,감바스,"15,000원"
19,영업/정상,1,영업,02  303 8386,53.0,120812.0,서울특별시 서대문구 북가좌동 292-16번지 1층 ,서울특별시 서대문구 증가로 227 1층 (북가좌동),3682.0,꼬꼬야 닭먹자,20180400000000.0,I,2018-08-31 23:59,통닭(치킨),192321.8723,453276.7144,통닭(치킨),1980012312,-,후라이드 (포장),"8,000원"
20,영업/정상,1,영업,,81.53,120810.0,서울특별시 서대문구 북가좌동 3-33번지 (지상1층) ,서울특별시 서대문구 증가로20가길 79 (북가좌동(지상1층)),3671.0,종점식당,20200400000000.0,U,2020-05-01 2:40,한식,192868.1568,453333.3112,한식,1118731899,4.38,가정식백반,"6,000원"
21,영업/정상,1,영업,02  304 7733,69.43,120130.0,서울특별시 서대문구 북가좌동 335-9번지 40 ,서울특별시 서대문구 응암로 145 (북가좌동40),3676.0,마포참숯불갈비,20091200000000.0,I,2018-08-31 23:59,한식,192424.6595,453675.374,한식,-,-,-,-
22,영업/정상,1,영업,02 3540818,50.0,120814.0,서울특별시 서대문구 북가좌동 327-13번지 ,서울특별시 서대문구 응암로 103 1층 (북가좌동),3678.0,이가족발,20181000000000.0,U,2018-10-24 2:36,한식,192219.4545,453313.7721,한식,33015231,4.4,앞발(대),"37,000원"
23,영업/정상,1,영업,,20.0,120810.0,서울특별시 서대문구 북가좌동 103-2번지 ,서울특별시 서대문구 거북골로 152 (북가좌동),3690.0,투다리,20181200000000.0,U,2018-12-30 2:40,한식,192243.8571,452591.5461,한식,1613136503,-,매운 닭살,"9,000원"
24,영업/정상,1,영업,02 31520630,105.0,120813.0,서울특별시 서대문구 북가좌동 306-19 1층 전체 자일빌딩 ,서울특별시 서대문구 응암로 62 1층 (북가좌동),3691.0,콩부자 북가좌점,20201000000000.0,U,2020-10-25 2:40,한식,192034.5692,452924.8113,한식,1718734696,4.32,콩나물국밥,"5,000원"
25,영업/정상,1,영업,,33.0,120814.0,서울특별시 서대문구 북가좌동 307-5번지 ,서울특별시 서대문구 응암로 59 1층 (북가좌동),3681.0,그안,20200100000000.0,I,2020-01-15 0:23,경양식,191982.3154,452927.972,경양식,1937093314,4.3,-,-
26,영업/정상,1,영업,,47.82,120130.0,서울특별시 서대문구 북가좌동 481번지 2단지-상가1동 1-02호 DMC래미안e편한세상 ,서울특별시 서대문구 수색로 100 2단지-상가1동 1층 1-02호 (북가좌동 DMC래미안e편한세상),3709.0,토요,20170800000000.0,I,2018-08-31 23:59,일식,192028.4159,452265.9522,일식,1245506149,4.48,모듬꼬치 11ps,"20,000원"
27,영업/정상,1,영업,,23.0,120812.0,서울특별시 서대문구 북가좌동 292-15번지 1층 ,서울특별시 서대문구 증가로 229 1층 (북가좌동),3682.0,방앗간포차,20191200000000.0,U,2019-12-21 2:40,호프/통닭,192312.0223,453285.406,호프/통닭,1831264893,-,-,-
28,영업/정상,1,영업,02   3042338,211.75,120130.0,서울특별시 서대문구 북가좌동 481번지 4단지 상가동(1-031-051-061-07호) ,서울특별시 서대문구 수색로 100 4단지 상가동 1층 1-031-051-061-07호 (북가좌동 DMC래미안e편한세상),3709.0,투썸플레이스 가재울뉴타운점,20190700000000.0,U,2019-07-03 2:40,기타,192028.4159,452265.9522,기타,35194843,4.4,아메리카노,"4,100원"
29,영업/정상,1,영업,02 3099288,49.0,120814.0,서울특별시 서대문구 북가좌동 327-2번지 (지상1층) ,서울특별시 서대문구 응암로 105 (북가좌동(지상1층)),3678.0,화송왕족발N순대국,20200500000000.0,U,2020-05-29 2:40,한식,192226.1585,453330.829,한식,-,-,-,-
30,영업/정상,1,영업,,28.6,120130.0,서울특별시 서대문구 북가좌동 487번지 성공타워 1층 104호 ,서울특별시 서대문구 수색로 56 1층 104호 (북가좌동 성공타워1),3709.0,옛날장터치킨북가좌동점,20161100000000.0,I,2018-08-31 23:59,통닭(치킨),192209.3236,452067.0394,통닭(치킨),1949661062,4.32,한마리 (포장),"11,000원"
31,영업/정상,1,영업,02  307 7797,46.2,120812.0,서울특별시 서대문구 북가좌동 293-2번지 ,서울특별시 서대문구 증가로25길 20 (북가좌동),3682.0,별미숯불갈비전문점,20100200000000.0,I,2018-08-31 23:59,한식,192253.459,453231.7929,한식,-,-,-,-
32,영업/정상,1,영업,,19.3,120813.0,서울특별시 서대문구 북가좌동 300-11 1층 나동 ,서울특별시 서대문구 응암로 70 나동 1층 (북가좌동),3683.0,샘밭골 한분식,20210400000000.0,I,2021-05-01 0:23,한식,192075.3093,452987.9455,한식,1482656615,4.5,라면,"3,500원"
33,영업/정상,1,영업,02  309 1502,54.57,120130.0,서울특별시 서대문구 북가좌동 481번지 디엠씨레미안이편한세상 제3단지 제상가1동 지하102호 ,서울특별시 서대문구 수색로 100 제3단지 상가1동 지층 102호 (북가좌동),3709.0,두리뽈쌀,20170300000000.0,I,2018-08-31 23:59,한식,192028.4159,452265.9522,한식,-,-,-,-
34,영업/정상,1,영업,02  304 0665,66.0,120812.0,서울특별시 서대문구 북가좌동 282-25번지 ,서울특별시 서대문구 증가로 218 1층 (북가좌동),3669.0,정선옻닭 생오리로스 전문,20120900000000.0,I,2018-08-31 23:59,탕류(보신용),192419.236,453224.1554,탕류(보신용),36379738,4.26,옻오리,"58,000원"
35,영업/정상,1,영업,02  375 5556,30.0,120812.0,서울특별시 서대문구 북가좌동 293-3 1층 ,서울특별시 서대문구 응암로 98 1층 (북가좌동),3682.0,청년피자 월드컵점,20210200000000.0,I,2021-02-03 0:23,경양식,192218.0809,453230.7785,경양식,1529055003,4.23,어플참조,변동
36,영업/정상,1,영업,,75.9,120812.0,서울특별시 서대문구 북가좌동 291-4번지 (지상2층) ,서울특별시 서대문구 증가로 215 (북가좌동(지상2층)),3682.0,거북골 숯불갈비,20160800000000.0,I,2018-08-31 23:59,한식,192405.9973,453187.5254,한식,13347695,4.44,수제돼지갈비 300g,"15,000원"
37,영업/정상,1,영업,,35.0,120812.0,서울특별시 서대문구 북가좌동 279-12 ,서울특별시 서대문구 응암로 116 1층 (북가좌동),3667.0,착한회시장,20210300000000.0,I,2021-03-12 0:23,횟집,192308.8448,453379.4394,횟집,1221490044,4.28,광어1kg,변동
38,영업/정상,1,영업,,49.26,120814.0,서울특별시 서대문구 북가좌동 326-7 지상1층 ,서울특별시 서대문구 증가로29길 39 지상1층 (북가좌동),3678.0,북경 양꼬치,20201200000000.0,U,2020-12-25 2:40,한식,192126.4541,453215.6633,한식,478807103,4.38,-,-
39,영업/정상,1,영업,302 9242,27.0,120814.0,서울특별시 서대문구 북가좌동 326-1 ,서울특별시 서대문구 응암로 99 1층 (북가좌동),3678.0,키토키토,20210300000000.0,U,2021-03-24 2:40,통닭(치킨),192195.7856,453277.5332,통닭(치킨),1801745207,4.8,-,-
40,영업/정상,1,영업,,33.0,120810.0,서울특별시 서대문구 북가좌동 3-133번지 1층 왼쪽 ,서울특별시 서대문구 증가로12나길 114 1층 (북가좌동),3672.0,한우사랑 정육식당,20190400000000.0,U,2019-04-04 2:40,한식,192831.4791,453432.4177,한식,-,-,-,-
41,영업/정상,1,영업,,48.68,120130.0,서울특별시 서대문구 북가좌동 481번지 DMC래미안이편한세상 제2단지 제상가1동 지하1층 제1-6호 ,서울특별시 서대문구 수색로 100 (북가좌동 DMC래미안이편한세상 제2단지 제상가1동 지하1층 제1-6호),3709.0,불닭발동대문엽기떡볶이가재울점,20150500000000.0,I,2018-08-31 23:59,분식,192028.4159,452265.9522,분식,-,-,-,-
42,영업/정상,1,영업,,60.0,120812.0,서울특별시 서대문구 북가좌동 291-2 ,서울특별시 서대문구 증가로 223 1층 (북가좌동),3682.0,가마치통닭(북가좌점),20200700000000.0,U,2020-07-29 2:40,호프/통닭,192351.1838,453240.3826,호프/통닭,-,-,-,-
43,영업/정상,1,영업,02  63380239,51.28,120812.0,서울특별시 서대문구 북가좌동 289-3 민성빌라 101호,서울특별시 서대문구 증가로17길 42 1층 101호 (북가좌동 민성빌라),3685.0,엄마손 식당,20211200000000.0,U,2021-12-30 2:40,한식,192391.8976,453087.7513,한식,1702153416,-,-,-
44,영업/정상,1,영업,,41.32,120813.0,서울특별시 서대문구 북가좌동 300-1 ,서울특별시 서대문구 응암로 80-4 (북가좌동),3683.0,추억의포차,20210800000000.0,U,2021-08-07 2:40,한식,192131.8954,453058.376,한식,1570939145,4.11,-,-
45,영업/정상,1,영업,02 3091155,61.63,120814.0,서울특별시 서대문구 북가좌동 326-6 1층 ,서울특별시 서대문구 응암로 89 1층 (북가좌동),3678.0,왕돈가스 왕냉면,20210900000000.0,U,2021-09-08 2:40,경양식,192150.0381,453203.0543,경양식,1801126453,4.14,수제돈까스,"6,000원"
46,영업/정상,1,영업,,33.34,120812.0,서울특별시 서대문구 북가좌동 295-18,서울특별시 서대문구 증가로23나길 25 1층 (북가좌동),3682.0,스시문,20220500000000.0,I,2021-12-04 22:05,일식,192221.6707,453136.6621,,1410815404,-,디너,"59,000원"
47,영업/정상,1,영업,,12.0,120816.0,서울특별시 서대문구 북가좌동 371-12 국제빌딩 B101호,서울특별시 서대문구 수색로 144 국제빌딩 B101호 (북가좌동),3714.0,압구정등갈비,20220100000000.0,I,2022-01-07 0:22,한식,191559.9181,452563.2918,한식,1148763665,-,-,-
48,영업/정상,1,영업,,23.1,120812.0,서울특별시 서대문구 북가좌동 293-13번지 1층 ,서울특별시 서대문구 증가로25길 26 1층 (북가좌동),3682.0,친구네 포차,20171000000000.0,I,2018-08-31 23:59,호프/통닭,192227.3386,453218.8997,호프/통닭,1785690885,4.63,닭도리탕,"35,000원"
49,영업/정상,1,영업,070 88424961,44.21,120130.0,서울특별시 서대문구 북가좌동 481번지 4단지상가 1동 9호,서울특별시 서대문구 수색로 100 제4단지-상가1동 1층 1-09호 (북가좌동),3709.0,누나홀닭,20160700000000.0,I,2018-08-31 23:59,호프/통닭,192028.4159,452265.9522,호프/통닭,36084227,4.19,촉촉칸 치빵파티,"27,900원"
50,영업/정상,1,영업,,63.65,120812.0,서울특별시 서대문구 북가좌동 292-5 ,서울특별시 서대문구 응암로 102-11 1층 (북가좌동),3682.0,요술집,20210400000000.0,I,2021-04-21 0:22,호프/통닭,192282.6564,453250.0352,호프/통닭,1138097671,-,-,-
51,영업/정상,1,영업,02  372 5407,91.52,120814.0,서울특별시 서대문구 북가좌동 324-27번지 (지상1층) ,서울특별시 서대문구 증가로31길 45 (북가좌동(지상1층)),3678.0,부산 돼지국밥,20161200000000.0,I,2018-08-31 23:59,한식,191969.1137,453311.2231,한식,1202009635,4.46,돼지국밥,"7,000원"
52,영업/정상,1,영업,,22.62,120816.0,서울특별시 서대문구 북가좌동 383-7 ,서울특별시 서대문구 수색로10길 8 1층 (북가좌동),3714.0,유선생돈까스 북가좌점,20211100000000.0,I,2021-11-11 0:22,한식,191580.965,452579.3888,한식,1643476719,-,-,-
53,영업/정상,1,영업,,30.77,120815.0,서울특별시 서대문구 북가좌동 341-24번지 명원아트맨션 제1층 제101호 ,서울특별시 서대문구 증가로32길 23-8 1층 101호 (북가좌동 명원아트맨션),3676.0,로라(rora),20180300000000.0,I,2018-08-31 23:59,경양식,192165.1599,453627.0849,경양식,-,-,-,-
54,영업/정상,1,영업,,30.0,120816.0,서울특별시 서대문구 북가좌동 382-6 ,서울특별시 서대문구 수색로10길 20 (북가좌동),3714.0,직화볶음 찜닭 볶찜 북가좌DMC점,20211000000000.0,U,2021-10-07 2:40,기타,191566.1728,452635.4946,기타,1655834418,3.67,갈릭 바베큐볶음찜닭,"27,800원"
55,영업/정상,1,영업,306 4118,26.52,120815.0,서울특별시 서대문구 북가좌동 332-1번지 ,서울특별시 서대문구 증가로30길 25 (북가좌동),3677.0,토담식당,20150400000000.0,I,2018-08-31 23:59,한식,192272.9782,453530.8217,한식,1530768394,-,된장찌개,"6,000원"
56,영업/정상,1,영업,,36.3,120812.0,서울특별시 서대문구 북가좌동 279-24 ,서울특별시 서대문구 증가로 226-1 1층 (북가좌동),3667.0,5959양꼬치,20210800000000.0,U,2021-08-07 2:40,중국식,192352.4151,453295.3324,중국식,38732579,4.38,양꼬치,"12,000원"
57,영업/정상,1,영업,,39.0,120130.0,서울특별시 서대문구 북가좌동 458 DMC아이파크아파트 상가동 104호,서울특별시 서대문구 거북골로14길 32 상가동 지하3층 104호 (북가좌동 DMC아이파크아파트),3690.0,10그램,20220400000000.0,U,2021-12-03 21:00,경양식,192380.0485,452681.3249,,1389709464,4.35,10g 햄샌드위치,"8,000원"
58,영업/정상,1,영업,02 3743500,50.74,120814.0,서울특별시 서대문구 북가좌동 309-1 ,서울특별시 서대문구 응암로 87 (북가좌동),3679.0,명당횟집,20210900000000.0,U,2021-09-04 2:40,일식,192128.5847,453169.985,일식,1726872783,4.47,도미,"100,000원"
59,영업/정상,1,영업,,29.81,120812.0,서울특별시 서대문구 북가좌동 290-1 지상1층 101호 점포1칸,서울특별시 서대문구 증가로 211 1층 101호 (북가좌동),3685.0,네네치킨 북가좌2점,20220400000000.0,U,2021-12-04 0:07,호프/통닭,192429.2353,453162.7626,,18288749,4.31,코찡마요치킨,"19,000원"
60,영업/정상,1,영업,,23.1,120815.0,서울특별시 서대문구 북가좌동 342-23번지 이주맨션 1층 101호 일부 ,서울특별시 서대문구 증가로32길 23-7 1층 (북가좌동 이주맨션),3677.0,우주,20181200000000.0,I,2018-12-09 2:20,기타,192142.4463,453598.7778,기타,1263573047,4.67,안심,변동
61,영업/정상,1,영업,,64.75,120810.0,서울특별시 서대문구 북가좌동 3-54 에코더블레스,서울특별시 서대문구 증가로24마길 47 에코더블레스 2층 202호 (북가좌동 에코더블레스),3668.0,매치걸 빈스,20220700000000.0,U,2021-12-06 21:00,경양식,192780.6592,453393.4734,,-,-,-,-
62,영업/정상,1,영업,,49.5,120812.0,서울특별시 서대문구 북가좌동 280-12,서울특별시 서대문구 증가로 226 (북가좌동),3669.0,할매순대국,20220400000000.0,U,2021-12-03 21:00,한식,192366.487,453276.9464,,37373853,4.37,순대국,변동
63,영업/정상,1,영업,,40.53,120813.0,서울특별시 서대문구 북가좌동 304-28번지 1층 ,서울특별시 서대문구 거북골로 176 1층 (북가좌동),3691.0,만두가(家),20190300000000.0,I,2019-03-31 2:20,한식,192065.4761,452756.901,한식,-,-,-,-
64,영업/정상,1,영업,,31.32,120814.0,서울특별시 서대문구 북가좌동 324-27번지 1층 ,서울특별시 서대문구 증가로31길 45 1층 (북가좌동),3678.0,딱한잔더 호프,20160300000000.0,I,2018-08-31 23:59,호프/통닭,191969.1137,453311.2231,호프/통닭,1081410660,3.85,-,-
65,영업/정상,1,영업,,13.0,120816.0,서울특별시 서대문구 북가좌동 371-12 국제빌딩 ,서울특별시 서대문구 수색로 144 국제빌딩 B1층 111호 (북가좌동),3714.0,도시피자 상암점,20220300000000.0,U,2022-03-04 2:40,경양식,191559.9181,452563.2918,경양식,1178358517,-,-,-
66,영업/정상,1,영업,,69.75,120814.0,서울특별시 서대문구 북가좌동 329-7번지 ,서울특별시 서대문구 증가로 245 (북가좌동),3678.0,원,20120300000000.0,I,2018-08-31 23:59,호프/통닭,192198.4144,453391.9961,호프/통닭,1553949264,4.7,숮불모듬꼬치10종,"22,000원"
67,영업/정상,1,영업,,54.57,120130.0,서울특별시 서대문구 북가좌동 481 DMC 래미안 e편한세상 ,서울특별시 서대문구 수색로 100 제상가1동 제지1층 1-03호 (북가좌동 DMC 래미안 e편한세상),3709.0,잭슨피자 가좌점,20210500000000.0,I,2021-05-06 0:22,경양식,192028.4159,452265.9522,경양식,1833979124,4.62,마가리타,"6,800~22,000"
68,영업/정상,1,영업,,84.6,120814.0,서울특별시 서대문구 북가좌동 310-2번지 1층 ,서울특별시 서대문구 응암로1길 13 (북가좌동 1층),3679.0,금강산소한마리,20151000000000.0,I,2018-08-31 23:59,한식,192033.4152,453237.849,한식,37642504,4.27,소한마리 800g,"57,000원"
69,영업/정상,1,영업,,76.14,120814.0,서울특별시 서대문구 북가좌동 346-13번지 1층 ,서울특별시 서대문구 거북골로24길 27-8 1층 (북가좌동),3680.0,알키미스타(Alquimistar),20171200000000.0,I,2018-08-31 23:59,기타,191793.0646,453183.2931,기타,-,-,-,-
70,영업/정상,1,영업,,42.9,120813.0,서울특별시 서대문구 북가좌동 306-17 6층 ,서울특별시 서대문구 응암로 54 서부프라자빌딩 6층 (북가좌동),3691.0,점프노리키즈카페,20201100000000.0,I,2020-11-06 0:23,기타,192000.9459,452848.0091,기타,1139237836,4.67,아이 입장료2시간,"12,000원"
71,영업/정상,1,영업,02  308 8955,83.0,120814.0,서울특별시 서대문구 북가좌동 329-1번지 ,서울특별시 서대문구 증가로31길 1 (북가좌동),3678.0,짝태앤노가리 인생닭강정,20200300000000.0,U,2020-03-11 2:40,한식,192103.7032,453473.4414,한식,-,-,-,-
72,영업/정상,1,영업,,46.0,120813.0,서울특별시 서대문구 북가좌동 300-14 1호동 101호 ,서울특별시 서대문구 응암로 78 1호동 1층 101호 (북가좌동),3683.0,닭갈비 대장,20220100000000.0,U,2022-01-27 2:40,한식,192111.4236,453052.9953,한식,1853824026,-,닭갈비,"8,500원"
73,영업/정상,1,영업,02  308 3888,55.48,120812.0,서울특별시 서대문구 북가좌동 278-1 ,서울특별시 서대문구 응암로 126 (북가좌동),3667.0,서울참치,20220300000000.0,U,2022-03-16 2:40,한식,192359.5309,453474.8829,한식,1032266518,4.3,-,-
74,영업/정상,1,영업,,33.0,120816.0,서울특별시 서대문구 북가좌동 383-9 북가좌새마을금고 ,서울특별시 서대문구 수색로 138 북가좌새마을금고 1층 (북가좌동),3714.0,정닭,20210300000000.0,I,2021-03-05 0:23,호프/통닭,191586.9185,452539.7403,호프/통닭,-,-,-,-
75,영업/정상,1,영업,,23.1,120812.0,서울특별시 서대문구 북가좌동 293-4,서울특별시 서대문구 응암로 94 (북가좌동),3682.0,너랑나랑 밥스토랑,20220700000000.0,U,2021-12-07 0:03,한식,192211.6283,453215.0824,,-,-,-,-
76,영업/정상,1,영업,02 3068042,25.8,120814.0,서울특별시 서대문구 북가좌동 326-6번지 ,서울특별시 서대문구 응암로 89 (북가좌동),3678.0,로하스,20100900000000.0,I,2018-08-31 23:59,분식,192150.0381,453203.0543,분식,33385499,-,-,-
77,영업/정상,1,영업,,26.4,120812.0,서울특별시 서대문구 북가좌동 299-3번지 1층 ,서울특별시 서대문구 응암로 80 1층 (북가좌동),3683.0,설레임,20200300000000.0,U,2020-03-19 2:40,한식,192132.232,453083.1636,한식,31737840,4.5,설레임 삼겹살,"7,900원"
78,영업/정상,1,영업,02 304 3854,37.95,120812.0,서울특별시 서대문구 북가좌동 292-1번지 지상1층 ,서울특별시 서대문구 응암로 108 (북가좌동지상1층),3682.0,부산숯불꼼장어,20081000000000.0,I,2018-08-31 23:59,한식,192276.7374,453314.5502,한식,1556639075,4.34,-,-
79,영업/정상,1,영업,203056394,106.3,120816.0,서울특별시 서대문구 북가좌동 351-5 지하1층 ,서울특별시 서대문구 응암로 144 지하1층 (북가좌동),3667.0,문래돼지불백,20211100000000.0,U,2021-11-04 2:40,한식,192446.966,453619.9369,한식,1981636384,4.37,돼지불백 200g,"7,000원"
80,영업/정상,1,영업,,81.25,120816.0,서울특별시 서대문구 북가좌동 383-10번지 ,서울특별시 서대문구 수색로10길 6-2 (북가좌동),3714.0,여수아구찜,20140300000000.0,I,2018-08-31 23:59,한식,191587.7303,452559.5019,한식,18757253,4.16,-,-
81,영업/정상,1,영업,,18.95,120812.0,서울특별시 서대문구 북가좌동 294-23 1층 ,서울특별시 서대문구 증가로25길 17 1층 (북가좌동),,사랑애포차,20210700000000.0,U,2021-07-22 2:40,한식,192277.5606,453208.2023,한식,-,-,-,-
82,영업/정상,1,영업,02  303 5445,122.62,120814.0,서울특별시 서대문구 북가좌동 326-20 ,서울특별시 서대문구 응암로1길 4 (북가좌동),3678.0,왔다 산아나고구이,20210800000000.0,U,2021-08-07 2:40,한식,192136.8159,453212.5809,한식,31397389,4.16,산아나고구이 (대),"52,000원"
