,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,검색명,업소URL
0,영업,,69.34,156800,서울특별시 동작구 노량진동 57-1 메가스터디타워 ,서울특별시 동작구 노량진로 140 메가스터디타워 상가동층 115호 (노량진동),6922.0,골든볼9 몬스터(지훈식당),20200000000000.0,U,2021-04-29 2:40,한식,194772.9754,445623.0802,한식,동작구 노량진동골든볼9 몬스터(지훈식당),-
1,영업,,26.0,156871,서울특별시 동작구 상도1동 804-1 ,서울특별시 동작구 상도로38길 3-20 1층 102호 (상도1동),7032.0,네모푸드 상도점,20200000000000.0,I,2021-02-05 0:23,한식,195365.9867,444373.1854,한식,동작구 상도1동네모푸드 상도점,-
2,영업,,64.74,156849,서울특별시 동작구 신대방동 395-70번지 전문건설회관 지하1층 ,서울특별시 동작구 보라매로5길 15 (신대방동전문건설회관 지하1층),,늘,20100000000000.0,I,2018-08-31 23:59,한식,193232.0279,443314.0572,한식,동작구 신대방동늘,1380778265
3,영업,,30.0,156843,서울특별시 동작구 상도동 355-8 ,서울특별시 동작구 상도로 122 1층 (상도동),6959.0,필드키친,20200000000000.0,I,2021-12-08 0:22,한식,194077.5201,444347.4355,한식,동작구 상도동필드키친,-
4,영업,02 8156555,16.01,156804,서울특별시 동작구 노량진동 261-10 ,서울특별시 동작구 노량진로8길 28 (노량진동),6930.0,백가네해물칼국수,20200000000000.0,U,2021-12-14 2:40,한식,194347.0685,445597.5115,한식,동작구 노량진동백가네해물칼국수,18752808
5,영업,260838247,47.95,156861,서울특별시 동작구 흑석동 194-13번지 지하1층 ,서울특별시 동작구 흑석로13마길 61 지하1층 (흑석동),6910.0,준호가만드는부대찌개,20200000000000.0,U,2019-06-01 2:40,한식,196296.617,445023.521,한식,동작구 흑석동준호가만드는부대찌개,-
6,영업,,44.2,156800,서울특별시 동작구 노량진동 36-3,서울특별시 동작구 노량진로8길 39 (노량진동),6928.0,우정 감자탕 생삼겹살,20200000000000.0,U,2021-12-05 22:06,한식,194404.4561,445602.1324,,동작구 노량진동우정 감자탕 생삼겹살,-
7,영업,02 5357866,96.4,156816,서울특별시 동작구 사당동 138-3 102호 ,서울특별시 동작구 동작대로27다길 26 (사당동102호),7008.0,구구향훠궈,20200000000000.0,U,2020-12-11 2:40,한식,198181.9469,442684.3355,한식,동작구 사당동구구향훠궈,31148801
8,영업,,146.2,156030,서울특별시 동작구 상도동 500-16 1층 ,서울특별시 동작구 상도로 383 (상도동 1층),7027.0,놀부자 정육식당,20200000000000.0,U,2021-10-31 2:40,한식,195961.5667,443647.0864,한식,동작구 상도동놀부자 정육식당,1459730247
9,영업,,29.7,156839,서울특별시 동작구 상도동 354-19 ,서울특별시 동작구 상도로 127 2층 201호 (상도동),6950.0,퍼스트푸드,20200000000000.0,U,2020-07-23 2:40,한식,194086.8511,444421.063,한식,동작구 상도동퍼스트푸드,-
10,영업,02  34871001,84.76,156821,서울특별시 동작구 사당동 265-10번지 외1필지 (지하1층) ,서울특별시 동작구 사당로 220 (사당동외1필지 (지하1층)),7010.0,할미가,20200000000000.0,I,2018-08-31 23:59,한식,197472.4706,442415.476,한식,동작구 사당동할미가,1155852774
11,영업,,31.37,156801,서울특별시 동작구 노량진동 118-5 ,서울특별시 동작구 만양로 100 (노량진동),6913.0,우정Ⅲ,20200000000000.0,U,2021-12-14 2:40,한식,195016.4678,445570.5183,한식,동작구 노량진동우정Ⅲ,-
12,영업,,11.4,156800,서울특별시 동작구 노량진동 13-6 ,서울특별시 동작구 노들로 674 지상1층 매점7호 (노량진동),6900.0,우주매점,20200000000000.0,U,2021-01-10 2:40,한식,194346.1567,445823.5009,한식,동작구 노량진동우주매점,1827675196
13,영업,02 8126842,14.04,156800,서울특별시 동작구 노량진동 85-6번지 ,서울특별시 동작구 노량진로14가길 14 (노량진동),6923.0,맘스터치,20100000000000.0,I,2018-08-31 23:59,한식,194909.2496,445592.4636,한식,동작구 노량진동맘스터치,33821442
14,영업,02 8214545,102.43,156838,서울특별시 동작구 상도동 183-17번지 ,서울특별시 동작구 상도로 166 (상도동),6956.0,다채샤브 장승배기역점,20200000000000.0,U,2019-06-02 2:40,한식,194425.9645,444621.2029,한식,동작구 상도동다채샤브 장승배기역점,-
15,영업,02 8265248,56.68,156030,서울특별시 동작구 상도동 502-11 ,서울특별시 동작구 상도로61길 21 (상도동),7027.0,고기스토리,20200000000000.0,U,2021-09-29 2:40,한식,196046.2104,443658.1123,한식,동작구 상도동고기스토리,32848774
16,영업,,28.75,156857,서울특별시 동작구 흑석동 54-142번지 제1호 1층 ,서울특별시 동작구 서달로14나길 27 (흑석동 제1호 1층),6980.0,흑수돈(흑석동수제돈까스),20100000000000.0,I,2018-08-31 23:59,한식,196673.4987,444970.7665,한식,동작구 흑석동흑수돈(흑석동수제돈까스),33492432
17,영업,02 5960500,103.0,156816,서울특별시 동작구 사당동 139-84번지 ,서울특별시 동작구 동작대로27가길 5 지하1층 (사당동),7008.0,브로이제트3호점,20200000000000.0,U,2020-05-30 2:40,한식,198274.6926,442795.5984,한식,동작구 사당동브로이제트3호점,1096237126
18,영업,,42.33,156813,서울특별시 동작구 노량진동 330 삼익주상복합아파트 ,서울특별시 동작구 만양로 84 지하층 25호 (노량진동 삼익주상복합아파트),6914.0,김여사도시락,20200000000000.0,U,2021-07-25 2:40,한식,195079.2655,445413.2884,한식,동작구 노량진동김여사도시락,1838789561
19,영업,02 8123818,133.46,156801,서울특별시 동작구 노량진동 124-4번지 ,서울특별시 동작구 만양로14길 29 지상1지하1층 (노량진동),6913.0,식객,20200000000000.0,U,2019-10-20 2:40,한식,195126.6498,445547.5521,한식,동작구 노량진동식객,20937772
20,영업,,164.6,156030,서울특별시 동작구 상도동 494-13,서울특별시 동작구 상도로60길 2 1층 (상도동),7040.0,팽여사 버섯오리명가,20200000000000.0,U,2021-12-04 0:01,한식,195875.4238,443664.6618,,동작구 상도동팽여사 버섯오리명가,-
21,영업,,118.3,156811,서울특별시 동작구 대방동 407-10번지 ,서울특별시 동작구 여의대방로24길 7 (대방동),7055.0,짬뽕상회,20200000000000.0,I,2018-08-31 23:59,한식,192919.7056,444025.4181,한식,동작구 대방동짬뽕상회,35111665
22,영업,,30.0,156815,서울특별시 동작구 사당동 91-184 ,서울특별시 동작구 동작대로29나길 30 1층 (사당동),6997.0,처갓집양념치킨 사당2점,20200000000000.0,U,2021-06-20 2:40,한식,198232.211,443021.2021,한식,동작구 사당동처갓집양념치킨 사당2점,1722893058
23,영업,205252917,38.47,156827,서울특별시 동작구 사당동 1041-34 ,서울특별시 동작구 동작대로3길 17 (사당동),7025.0,산수정,20200000000000.0,U,2020-12-06 2:40,한식,198195.2642,441789.3879,한식,동작구 사당동산수정,20888343
24,영업,02 8178637,24.8,156861,서울특별시 동작구 흑석동 190-3 ,서울특별시 동작구 흑석로 95-1 (흑석동),6910.0,홍천닭갈비,20200000000000.0,U,2021-10-09 2:40,한식,196413.6472,445044.2013,한식,동작구 흑석동홍천닭갈비,18714929
25,영업,,78.97,156801,서울특별시 동작구 노량진동 148-55 ,서울특별시 동작구 만양로18길 21 1층 (노량진동),6913.0,샤브로21,20200000000000.0,I,2022-01-06 0:22,한식,195117.4563,445657.4146,한식,동작구 노량진동샤브로21,1192685856
26,영업,02 8246685,85.64,156801,서울특별시 동작구 노량진동 120-3 ,서울특별시 동작구 만양로 83 (노량진동),6923.0,레커훈스,20200000000000.0,U,2021-12-07 2:40,한식,195014.629,445416.7845,한식,동작구 노량진동레커훈스,18692799
27,영업,02 8365991,34.04,156849,서울특별시 동작구 신대방동 395-68 ,서울특별시 동작구 보라매로5가길 24 (신대방동),7071.0,대원,20200000000000.0,U,2020-12-16 2:40,한식,193204.7822,443168.5136,한식,동작구 신대방동대원,20918718
28,영업,,58.18,156816,서울특별시 동작구 사당동 133-13,서울특별시 동작구 동작대로29길 7 1층 (사당동),7008.0,홍두깨칼국수,20200000000000.0,U,2021-12-05 23:06,한식,198307.1196,442861.5331,,동작구 사당동홍두깨칼국수,1271679732
29,영업,234722202,235.54,156827,서울특별시 동작구 사당동 1041-7번지 ,서울특별시 동작구 남부순환로271길 20 (사당동),7025.0,가마솥손두부,20200000000000.0,I,2018-08-31 23:59,한식,198178.3729,441735.1308,한식,동작구 사당동가마솥손두부,11888078
30,영업,,117.11,156811,서울특별시 동작구 대방동 407-10번지 ,서울특별시 동작구 여의대방로24길 7 2층 (대방동),7055.0,성찬식당,20200000000000.0,U,2020-05-17 2:40,한식,192919.7056,444025.4181,한식,동작구 대방동성찬식당,-
31,영업,02 8252622,75.92,156843,서울특별시 동작구 상도동 355-7 ,서울특별시 동작구 상도로 124 (상도동),6959.0,광명,20200000000000.0,U,2022-03-12 2:40,한식,194089.7494,444361.4846,한식,동작구 상도동광명,37943779
32,영업,8128827,132.66,156808,서울특별시 동작구 대방동 341-1 ,서울특별시 동작구 여의대방로54길 5 (대방동),6938.0,쑈쌩크,20200000000000.0,U,2020-11-13 2:40,한식,193381.6368,445532.4394,한식,동작구 대방동쑈쌩크,1979867258
33,영업,02 8269285,103.52,156847,서울특별시 동작구 신대방동 345-3번지 1층 제2호 ,서울특별시 동작구 보라매로 93 (신대방동 1층 제2호),7060.0,통삼겹구이5900,20200000000000.0,U,2018-11-22 2:37,한식,193536.4443,443946.5544,한식,동작구 신대방동통삼겹구이5900,-
34,영업,,220.4,156755,서울특별시 동작구 흑석동 224-1 중앙대학교병원 ,서울특별시 동작구 흑석로 102 중앙대학교병원 지하1층 B106호 (흑석동),6973.0,한쿡,20200000000000.0,I,2021-04-16 0:22,한식,196469.8398,444981.9379,한식,동작구 흑석동한쿡,1174629728
35,영업,,29.7,156030,서울특별시 동작구 상도동 463-2번지 이화빌딩 ,서울특별시 동작구 상도로47길 4 1층 (상도동),6971.0,겹,20200000000000.0,I,2018-10-20 2:37,한식,195634.2002,444147.1457,한식,동작구 상도동겹,-
36,영업,,18.0,156840,서울특별시 동작구 상도동 194-14 ,서울특별시 동작구 상도로22길 44 1층 (상도동),6959.0,호프왕노가리,20200000000000.0,U,2020-11-13 2:40,한식,194374.479,444364.6037,한식,동작구 상도동호프왕노가리,242766643
37,영업,,25.0,156815,서울특별시 동작구 사당동 91-175 ,서울특별시 동작구 동작대로29나길 14 1층 (사당동),6997.0,사계식당,20200000000000.0,U,2021-10-22 2:40,한식,198219.7812,442943.7942,한식,동작구 사당동사계식당,1562451118
38,영업,222547975,139.74,156800,서울특별시 동작구 노량진동 13-6 ,서울특별시 동작구 노들로 674 지상2층 1호 (노량진동),6900.0,청하식당,20200000000000.0,U,2021-01-08 2:40,한식,194346.1567,445823.5009,한식,동작구 노량진동청하식당,37769702
39,영업,,50.0,156090,서울특별시 동작구 사당동 1131 ,서울특별시 동작구 사당로13길 31 두산위브  지하1층 제지1-1 1-2호 (사당동),7004.0,푸라닭 사당1호점,20200000000000.0,U,2020-07-29 2:40,한식,197390.1432,442578.0473,한식,동작구 사당동푸라닭 사당1호점,1376020558
40,영업,02  821 4953,46.13,156811,서울특별시 동작구 대방동 407-38 ,서울특별시 동작구 여의대방로24길 137 2층 101호 (대방동),7055.0,홈인팜스 신대방점,20200000000000.0,U,2022-03-24 2:40,한식,193540.5228,444117.0325,한식,동작구 대방동홈인팜스 신대방점,-
41,영업,7076778249,49.74,156861,서울특별시 동작구 흑석동 190-34번지 지하1층 ,서울특별시 동작구 흑석로 85 (흑석동 지하1층),6910.0,양셰프(양Chef),20100000000000.0,I,2018-08-31 23:59,한식,196312.5648,445008.4414,한식,동작구 흑석동양셰프(양Chef),-
42,영업,02825 5952,61.64,156030,서울특별시 동작구 상도동 502-6번지 동운빌딩 ,서울특별시 동작구 사당로 14 1층 (상도동),7027.0,숭실대중문 한솥도시락,20200000000000.0,I,2018-08-31 23:59,한식,196034.3082,443674.6169,한식,동작구 상도동숭실대중문 한솥도시락,1258501482
43,영업,070 88645528,71.04,156807,서울특별시 동작구 대방동 17-20 지원빌딩 ,서울특별시 동작구 등용로 88 지원빌딩 1층 (대방동),6933.0,도투머리,20200000000000.0,I,2020-11-05 0:23,한식,193947.7004,445210.6456,한식,동작구 대방동도투머리,1339476382
44,영업,02 8159795,44.17,156801,서울특별시 동작구 노량진동 123-10 ,서울특별시 동작구 만양로14길 4 (노량진동),6914.0,꿀꾸랄라,20200000000000.0,U,2021-11-18 2:40,한식,195045.6957,445452.0522,한식,동작구 노량진동꿀꾸랄라,30808641
45,영업,,59.4,156090,서울특별시 동작구 사당동 254-11 ,서울특별시 동작구 사당로14가길 8 (사당동),7010.0,생오리 회전 숯불구이,20200000000000.0,U,2021-12-14 2:40,한식,197441.2871,442433.1672,한식,동작구 사당동생오리 회전 숯불구이,20734849
46,영업,02  522 2040,94.75,156816,서울특별시 동작구 사당동 147-29번지 1층 126호127호 ,서울특별시 동작구 사당로 300 (사당동 1층 126호127호),7013.0,이수한우명가,20100000000000.0,I,2018-08-31 23:59,한식,198202.4725,442471.241,한식,동작구 사당동이수한우명가,33040151
47,영업,205939809,19.38,156816,서울특별시 동작구 사당동 139-8 ,서울특별시 동작구 동작대로29길 29 (사당동),7008.0,골목식당,20200000000000.0,U,2020-12-09 2:40,한식,198192.9077,442867.6446,한식,동작구 사당동골목식당,-
48,영업,,26.66,156030,서울특별시 동작구 상도동 506-1 ,서울특별시 동작구 사당로 36 (상도동),7027.0,비비엣,20200000000000.0,U,2021-04-04 2:40,한식,196245.0924,443634.8563,한식,동작구 상도동비비엣,1173236303
49,영업,02 8478367,34.8,156855,서울특별시 동작구 신대방동 708번지 해태보라매타워 ,서울특별시 동작구 보라매로3길 29 지하층 52535657호 (신대방동 해태보라매타워),7071.0,소반,20200000000000.0,U,2019-08-23 2:40,한식,193279.5991,443230.4182,한식,동작구 신대방동소반,1629252754
50,영업,02 8257773,61.65,156860,서울특별시 동작구 흑석동 102-130번지 ,서울특별시 동작구 서달로 165-1 2층 (흑석동),6972.0,서달양조장,20200000000000.0,I,2019-01-18 2:20,한식,196629.0601,445093.6749,한식,동작구 흑석동서달양조장,1174982785
51,영업,,61.45,156060,서울특별시 동작구 본동 126-44번지 ,서울특별시 동작구 노량진로 250-1 (본동),6907.0,정호식당,20100000000000.0,I,2018-08-31 23:59,한식,195874.5949,445510.9572,한식,동작구 본동정호식당,21817802
52,영업,,39.9,156031,서울특별시 동작구 상도1동 268-2 1층 ,서울특별시 동작구 상도로47길 3 (상도1동 1층),6970.0,정통왕족발,20200000000000.0,U,2021-04-02 2:40,한식,195614.1295,444168.3651,한식,동작구 상도1동정통왕족발,36504877
53,영업,,42.33,156813,서울특별시 동작구 노량진동 330번지 ,서울특별시 동작구 만양로 84 제지하1층 24호 (노량진동),6914.0,양철북,20200000000000.0,U,2019-06-07 2:40,한식,195079.2655,445413.2884,한식,동작구 노량진동양철북,1059500292
54,영업,02 8169824,61.18,156801,서울특별시 동작구 노량진동 119-64 ,서울특별시 동작구 노량진로16길 31 (노량진동),6922.0,장충족발,20200000000000.0,U,2020-12-17 2:40,한식,194989.9067,445555.2971,한식,동작구 노량진동장충족발,1813132873
55,영업,,93.0,156030,서울특별시 동작구 상도동 490번지 ,서울특별시 동작구 상도로62길 45 (상도동),7040.0,이필배의 진짜루명태촌,20200000000000.0,I,2018-08-31 23:59,한식,195774.3335,443781.2706,한식,동작구 상도동이필배의 진짜루명태촌,-
56,영업,,66.0,156030,서울특별시 동작구 상도동 504-3번지 ,서울특별시 동작구 상도로61길 40 지상1층 (상도동),7027.0,큰맘할매순대국,20200000000000.0,I,2018-08-31 23:59,한식,196135.1217,443610.5863,한식,동작구 상도동큰맘할매순대국,37373882
57,영업,234789292,82.0,156816,서울특별시 동작구 사당동 139-27 ,서울특별시 동작구 동작대로27다길 8 1층 (사당동),7008.0,미고삼,20200000000000.0,U,2021-03-04 2:40,한식,198192.2944,442781.6882,한식,동작구 사당동미고삼,1866362071
58,영업,02 8310527,466.27,156849,서울특별시 동작구 신대방동 425 (지하1층) ,서울특별시 동작구 보라매로5길 20 (신대방동(지하1층)),,셰프앤유,20200000000000.0,U,2021-07-03 2:40,한식,193235.494,443510.4208,한식,동작구 신대방동셰프앤유,1240343321
59,영업,,79.0,156854,서울특별시 동작구 신대방동 694-14 ,서울특별시 동작구 대림로 29 1층 (신대방동),7073.0,와우치킨바베큐,20200000000000.0,U,2020-06-26 2:40,한식,191958.1695,442754.7542,한식,동작구 신대방동와우치킨바베큐,1790857488
60,영업,02  822 3005,48.04,156810,서울특별시 동작구 대방동 386-3번지 ,서울특별시 동작구 여의대방로36길 10-9 1층 (대방동),6945.0,이가네,20200000000000.0,U,2020-04-16 2:40,한식,193154.9665,444706.5059,한식,동작구 대방동이가네,1773046184
61,영업,,36.36,156859,서울특별시 동작구 흑석동 97-6 ,서울특별시 동작구 서달로12길 13 1층 (흑석동),6979.0,흑석전집,20200000000000.0,I,2020-10-07 0:23,한식,196624.5789,444980.1061,한식,동작구 흑석동흑석전집,1124845126
62,영업,02  32806617,65.0,156800,서울특별시 동작구 노량진동 58-10번지 1층 ,서울특별시 동작구 노량진로14길 14 (노량진동 1층),6922.0,향토밥상,20200000000000.0,U,2020-04-16 2:40,한식,194804.7399,445628.3051,한식,동작구 노량진동향토밥상,1006833539
63,영업,,28.9,156831,서울특별시 동작구 상도동 169-31 ,서울특별시 동작구 상도로30길 22 (상도동),6964.0,정다운식당,20200000000000.0,U,2020-11-13 2:40,한식,194806.8416,444712.3264,한식,동작구 상도동정다운식당,20937624
64,영업,02 8120555,13.0,156859,서울특별시 동작구 흑석동 95-16 ,서울특별시 동작구 서달로12가길 7 (흑석동),6980.0,현주네김밥,20200000000000.0,U,2020-12-16 2:40,한식,196633.6081,444922.3495,한식,동작구 흑석동현주네김밥,933257177
65,영업,02 8450177,88.02,156849,서울특별시 동작구 신대방동 395-69번지 ,서울특별시 동작구 보라매로5가길 16 (신대방동),7071.0,명가,20200000000000.0,I,2018-08-31 23:59,한식,193218.364,443239.5811,한식,동작구 신대방동명가,21864943
66,영업,02 8239600,313.51,156808,서울특별시 동작구 대방동 341-1번지 ,서울특별시 동작구 여의대방로54길 5 (대방동),6938.0,초록애,20200000000000.0,I,2018-08-31 23:59,한식,193381.6368,445532.4394,한식,동작구 대방동초록애,12054228
67,영업,,35.52,156840,서울특별시 동작구 상도동 235-37 상현빌딩 ,서울특별시 동작구 성대로29길 1 상현빌딩 1층 (상도동),6962.0,미자네식당,20200000000000.0,U,2021-12-07 2:40,한식,194606.3065,444102.2767,한식,동작구 상도동미자네식당,1640400712
68,영업,02  812 6267,23.72,156803,서울특별시 동작구 노량진동 240-51 ,서울특별시 동작구 장승배기로 155 (노량진동),6929.0,돈오비,20200000000000.0,U,2020-10-25 2:40,한식,194625.0406,445477.1855,한식,동작구 노량진동돈오비,1057621158
69,영업,02 5811419,170.88,156826,서울특별시 동작구 사당동 1032-1번지 ,서울특별시 동작구 동작대로7길 19 (사당동),7015.0,전주전집,20200000000000.0,U,2020-06-13 2:40,한식,198219.1632,441940.8139,한식,동작구 사당동전주전집,13419356
70,영업,,42.33,156813,서울특별시 동작구 노량진동 330번지 지하1층 제지하22호 ,서울특별시 동작구 만양로 84 (노량진동 지하1층 제지하22호),6914.0,토담,20200000000000.0,I,2018-08-31 23:59,한식,195079.2655,445413.2884,한식,동작구 노량진동토담,277763755
71,영업,02537 9943,46.0,156816,서울특별시 동작구 사당동 139-19번지 외 1필지 1층 ,서울특별시 동작구 동작대로27다길 2 (사당동외 1필지 1층),7008.0,육쌈냉면,20200000000000.0,U,2020-05-01 2:40,한식,198194.8185,442802.6815,한식,동작구 사당동육쌈냉면,20873032
72,영업,,34.84,156030,서울특별시 동작구 상도동 494-1 ,서울특별시 동작구 상도로 372-3 2층 2호 (상도동),7040.0,(주)라이프키친,20200000000000.0,U,2021-09-02 2:40,한식,195843.4579,443694.0374,한식,동작구 상도동(주)라이프키친,-
73,영업,02  583 1976,40.46,156824,서울특별시 동작구 사당동 1006-8 ,서울특별시 동작구 동작대로23길 23 1층 (사당동),7013.0,이수 생삼겹살,20200000000000.0,U,2020-08-22 2:40,한식,198199.265,442423.4654,한식,동작구 사당동이수 생삼겹살,1995629009
74,영업,02 8213275,38.23,156030,서울특별시 동작구 상도동 535 상도2차두산위브트레지움아파트 ,서울특별시 동작구 상도로30길 40 1층 120호 (상도동 상도2차두산위브트레지움아파트),6964.0,김가네김밥,20200000000000.0,U,2020-10-24 2:40,한식,194870.3844,444631.1127,한식,동작구 상도동김가네김밥,1712090053
75,영업,,27.8,156825,서울특별시 동작구 사당동 1019-9 ,서울특별시 동작구 사당로30길 81 (사당동),7014.0,양푼이 식당,20200000000000.0,U,2021-11-18 2:40,한식,198242.8043,442112.0483,한식,동작구 사당동양푼이 식당,19030945
76,영업,,20.0,156821,서울특별시 동작구 사당동 268-30 ,서울특별시 동작구 사당로16가길 24 1층 (사당동),7010.0,오늘쉐프,20200000000000.0,I,2021-11-12 0:22,한식,197470.2402,442338.1271,한식,동작구 사당동오늘쉐프,1072320964
77,영업,232805959,91.62,156030,서울특별시 동작구 상도동 477-17 ,서울특별시 동작구 상도로37길 74 (상도동),6971.0,황새골손칼국수,20200000000000.0,U,2020-11-25 2:40,한식,195758.0858,443972.0029,한식,동작구 상도동황새골손칼국수,32117320
78,영업,,13.23,156806,서울특별시 동작구 노량진동 307-9 ,서울특별시 동작구 장승배기로 123-6 (노량진동),6935.0,풍년집,20200000000000.0,I,2020-10-07 0:23,한식,194569.0485,445150.7201,한식,동작구 노량진동풍년집,-
79,영업,,23.0,156826,서울특별시 동작구 사당동 1032-45 ,서울특별시 동작구 동작대로7길 49 1층 (사당동),7015.0,윤공,20200000000000.0,I,2021-05-16 0:23,한식,198124.3364,441828.541,한식,동작구 사당동윤공,1226807259
80,영업,02 8137799,258.08,156800,서울특별시 동작구 노량진동 13-6 ,서울특별시 동작구 노들로 674 지상2층 14호 (노량진동),6900.0,부산일번지,20200000000000.0,U,2021-01-09 2:40,한식,194346.1567,445823.5009,한식,동작구 노량진동부산일번지,1892582024
81,영업,02 8245830,29.7,156800,서울특별시 동작구 노량진동 36-5 ,서울특별시 동작구 노량진로8길 35 (노량진동),6928.0,원조마포갈비,20200000000000.0,U,2020-12-05 2:40,한식,194390.7938,445604.7429,한식,동작구 노량진동원조마포갈비,20834283
82,영업,,38.06,156801,서울특별시 동작구 노량진동 127-9 ,서울특별시 동작구 만양로14길 39 1층 (노량진동),6913.0,효례국밥,20200000000000.0,I,2021-10-21 0:22,한식,195177.4246,445566.811,한식,동작구 노량진동효례국밥,1155854043
83,영업,02  8235646,50.0,156871,서울특별시 동작구 상도1동 721-1 ,서울특별시 동작구 양녕로 247-1 지상1층 (상도1동),6965.0,터널돼지갈비,20200000000000.0,U,2020-12-12 2:40,한식,195221.6164,444516.3949,한식,동작구 상도1동터널돼지갈비,1841277811
